车辆类型,排放类型,speed_kmh,acceleration_m/s2,排放因子_g/s
小轿车,NOx,0,-1.9,2.46343888888889e-05
小轿车,NOx,1,-1.9,2.46343888888889e-05
小轿车,NOx,2,-1.9,2.46343888888889e-05
小轿车,NOx,3,-1.9,2.46343888888889e-05
小轿车,NOx,4,-1.9,2.46343888888889e-05
小轿车,NOx,5,-1.9,2.46343888888889e-05
小轿车,NOx,6,-1.9,2.46343888888889e-05
小轿车,NOx,7,-1.9,2.46343888888889e-05
小轿车,NOx,8,-1.9,2.46343888888889e-05
小轿车,NOx,9,-1.9,2.46343888888889e-05
小轿车,NOx,10,-1.9,2.46343888888889e-05
小轿车,NOx,11,-1.9,2.46343888888889e-05
小轿车,NOx,12,-1.9,2.46343888888889e-05
小轿车,NOx,13,-1.9,2.46343888888889e-05
小轿车,NOx,14,-1.9,2.46343888888889e-05
小轿车,NOx,15,-1.9,2.46343888888889e-05
小轿车,NOx,16,-1.9,2.46343888888889e-05
小轿车,NOx,17,-1.9,2.46343888888889e-05
小轿车,NOx,18,-1.9,2.46343888888889e-05
小轿车,NOx,19,-1.9,2.46343888888889e-05
小轿车,NOx,20,-1.9,2.46343888888889e-05
小轿车,NOx,21,-1.9,2.46343888888889e-05
小轿车,NOx,22,-1.9,2.46343888888889e-05
小轿车,NOx,23,-1.9,2.46343888888889e-05
小轿车,NOx,24,-1.9,2.46343888888889e-05
小轿车,NOx,25,-1.9,2.46343888888889e-05
小轿车,NOx,26,-1.9,2.46343888888889e-05
小轿车,NOx,27,-1.9,2.46343888888889e-05
小轿车,NOx,28,-1.9,2.46343888888889e-05
小轿车,NOx,29,-1.9,2.46343888888889e-05
小轿车,NOx,30,-1.9,2.46343888888889e-05
小轿车,NOx,31,-1.9,2.46343888888889e-05
小轿车,NOx,32,-1.9,2.46343888888889e-05
小轿车,NOx,33,-1.9,2.46343888888889e-05
小轿车,NOx,34,-1.9,2.46343888888889e-05
小轿车,NOx,35,-1.9,2.46343888888889e-05
小轿车,NOx,36,-1.9,2.46343888888889e-05
小轿车,NOx,37,-1.9,2.46343888888889e-05
小轿车,NOx,38,-1.9,2.46343888888889e-05
小轿车,NOx,39,-1.9,2.46343888888889e-05
小轿车,NOx,40,-1.9,2.46343888888889e-05
小轿车,NOx,41,-1.9,2.46343888888889e-05
小轿车,NOx,42,-1.9,2.46343888888889e-05
小轿车,NOx,43,-1.9,2.46343888888889e-05
小轿车,NOx,44,-1.9,2.46343888888889e-05
小轿车,NOx,45,-1.9,2.46343888888889e-05
小轿车,NOx,46,-1.9,2.46343888888889e-05
小轿车,NOx,47,-1.9,2.46343888888889e-05
小轿车,NOx,48,-1.9,2.46343888888889e-05
小轿车,NOx,49,-1.9,2.46343888888889e-05
小轿车,NOx,50,-1.9,2.46343888888889e-05
小轿车,NOx,51,-1.9,2.46343888888889e-05
小轿车,NOx,52,-1.9,2.46343888888889e-05
小轿车,NOx,53,-1.9,2.46343888888889e-05
小轿车,NOx,54,-1.9,2.46343888888889e-05
小轿车,NOx,55,-1.9,2.46343888888889e-05
小轿车,NOx,56,-1.9,2.46343888888889e-05
小轿车,NOx,57,-1.9,2.46343888888889e-05
小轿车,NOx,58,-1.9,2.46343888888889e-05
小轿车,NOx,59,-1.9,2.46343888888889e-05
小轿车,NOx,60,-1.9,2.46343888888889e-05
小轿车,NOx,61,-1.9,2.46343888888889e-05
小轿车,NOx,62,-1.9,2.46343888888889e-05
小轿车,NOx,63,-1.9,2.46343888888889e-05
小轿车,NOx,64,-1.9,2.46343888888889e-05
小轿车,NOx,65,-1.9,2.46343888888889e-05
小轿车,NOx,66,-1.9,2.46343888888889e-05
小轿车,NOx,67,-1.9,2.46343888888889e-05
小轿车,NOx,68,-1.9,2.46343888888889e-05
小轿车,NOx,69,-1.9,2.46343888888889e-05
小轿车,NOx,70,-1.9,2.46343888888889e-05
小轿车,NOx,71,-1.9,2.46343888888889e-05
小轿车,NOx,72,-1.9,2.46343888888889e-05
小轿车,NOx,73,-1.9,2.46343888888889e-05
小轿车,NOx,74,-1.9,2.46343888888889e-05
小轿车,NOx,75,-1.9,2.46343888888889e-05
小轿车,NOx,76,-1.9,2.46343888888889e-05
小轿车,NOx,77,-1.9,2.46343888888889e-05
小轿车,NOx,78,-1.9,2.46343888888889e-05
小轿车,NOx,79,-1.9,2.46343888888889e-05
小轿车,NOx,80,-1.9,2.46343888888889e-05
小轿车,NOx,81,-1.9,2.46343888888889e-05
小轿车,NOx,82,-1.9,2.46343888888889e-05
小轿车,NOx,83,-1.9,2.46343888888889e-05
小轿车,NOx,84,-1.9,2.46343888888889e-05
小轿车,NOx,85,-1.9,2.46343888888889e-05
小轿车,NOx,86,-1.9,2.46343888888889e-05
小轿车,NOx,87,-1.9,2.46343888888889e-05
小轿车,NOx,88,-1.9,2.46343888888889e-05
小轿车,NOx,89,-1.9,2.46343888888889e-05
小轿车,NOx,90,-1.9,2.46343888888889e-05
小轿车,NOx,91,-1.9,2.46343888888889e-05
小轿车,NOx,92,-1.9,2.46343888888889e-05
小轿车,NOx,93,-1.9,2.46343888888889e-05
小轿车,NOx,94,-1.9,2.46343888888889e-05
小轿车,NOx,95,-1.9,2.46343888888889e-05
小轿车,NOx,96,-1.9,2.46343888888889e-05
小轿车,NOx,97,-1.9,2.46343888888889e-05
小轿车,NOx,98,-1.9,2.46343888888889e-05
小轿车,NOx,99,-1.9,2.46343888888889e-05
小轿车,NOx,100,-1.9,2.46343888888889e-05
小轿车,NOx,101,-1.9,2.46343888888889e-05
小轿车,NOx,102,-1.9,2.46343888888889e-05
小轿车,NOx,103,-1.9,2.46343888888889e-05
小轿车,NOx,104,-1.9,2.46343888888889e-05
小轿车,NOx,105,-1.9,2.46343888888889e-05
小轿车,NOx,106,-1.9,2.46343888888889e-05
小轿车,NOx,107,-1.9,2.46343888888889e-05
小轿车,NOx,108,-1.9,2.46343888888889e-05
小轿车,NOx,109,-1.9,2.46343888888889e-05
小轿车,NOx,110,-1.9,2.46343888888889e-05
小轿车,NOx,111,-1.9,2.46343888888889e-05
小轿车,NOx,112,-1.9,2.46343888888889e-05
小轿车,NOx,113,-1.9,2.46343888888889e-05
小轿车,NOx,114,-1.9,2.46343888888889e-05
小轿车,NOx,115,-1.9,2.46343888888889e-05
小轿车,NOx,116,-1.9,2.46343888888889e-05
小轿车,NOx,117,-1.9,2.46343888888889e-05
小轿车,NOx,118,-1.9,2.46343888888889e-05
